dbms	table_catalog	table_schema	table_name	column_name	ordinal_position	data_type	character_maximum_length	constraint_type	table_schema	table_name	column_name
postgresql	shareway	public	calificaciones	evaluador_id	3	bigint		FOREIGN KEY	public	usuarios	usuario_id
postgresql	shareway	public	calificaciones	evaluado_id	4	bigint		FOREIGN KEY	public	usuarios	usuario_id
postgresql	shareway	public	calificaciones	puntaje	5	integer					
postgresql	shareway	public	calificaciones	comentario	6	character varying	500				
postgresql	shareway	public	calificaciones	created_at	7	timestamp without time zone					
postgresql	shareway	public	tarifas	tarifa_id	1	bigint		PRIMARY KEY			
postgresql	shareway	public	tarifas	zona	2	character varying	120				
postgresql	shareway	public	tarifas	distancia_base_km	3	numeric					
postgresql	shareway	public	tarifas	precio_base	4	numeric					
postgresql	shareway	public	tarifas	precio_km	5	numeric					
postgresql	shareway	public	tarifas	vigencia_desde	6	date					
postgresql	shareway	public	tarifas	vigencia_hasta	7	date					
postgresql	shareway	public	tarifas	estado	8	character varying	20				
postgresql	shareway	public	pagos	pago_id	1	bigint		PRIMARY KEY			
postgresql	shareway	public	pagos	reserva_id	2	bigint		FOREIGN KEY	public	reservas	reserva_id
postgresql	shareway	public	pagos	usuario_id	3	bigint		FOREIGN KEY	public	usuarios	usuario_id
postgresql	shareway	public	pagos	monto	4	numeric					
postgresql	shareway	public	pagos	metodo	5	character varying	30				
postgresql	shareway	public	pagos	estado	6	character varying	20				
postgresql	shareway	public	pagos	provider_ref	7	character varying	120				
postgresql	shareway	public	pagos	created_at	8	timestamp without time zone					
postgresql	shareway	public	penalidades	penalidad_id	1	bigint		PRIMARY KEY			
postgresql	shareway	public	penalidades	reserva_id	2	bigint		FOREIGN KEY	public	reservas	reserva_id
postgresql	shareway	public	penalidades	usuario_id	3	bigint		FOREIGN KEY	public	usuarios	usuario_id
postgresql	shareway	public	penalidades	motivo	4	character varying	120				
postgresql	shareway	public	penalidades	monto	5	numeric					
postgresql	shareway	public	penalidades	estado	6	character varying	20				
postgresql	shareway	public	penalidades	created_at	7	timestamp without time zone					
postgresql	shareway	public	liquidaciones_conductor	liquidacion_id	1	bigint		PRIMARY KEY			
postgresql	shareway	public	liquidaciones_conductor	viaje_id	2	bigint		FOREIGN KEY	public	viajes	viaje_id
postgresql	shareway	public	liquidaciones_conductor	conductor_id	3	bigint		FOREIGN KEY	public	usuarios	usuario_id
postgresql	shareway	public	liquidaciones_conductor	monto_bruto	4	numeric					
postgresql	shareway	public	liquidaciones_conductor	comision	5	numeric					
postgresql	shareway	public	liquidaciones_conductor	monto_neto	6	numeric					
postgresql	shareway	public	liquidaciones_conductor	estado	7	character varying	20				
